카테고리,메뉴명,정보,용량,1회제공량(kcal),나트륨(mg),포화지방(g),당류(g),단백질(g),카페인(mg)
블렌디드,"송당R 더블 멜론 블렌디드
SongdangR Double Melon Blended","인기리에 판매되었던 더 멜론 오브 멜론
프라푸치노보다 칸탈로프 멜론 청크를
36% 증량해 더 진해진 멜론의 풍미
*더제주송당파크R 한정판매",473ml,255,80,4.5,46,3,0
블렌디드,"스타벅스 클래식 밀크티 블렌디드
Starbucks Classic Milk Tea Blended","블랙티의 풍미와 향이 더욱 풍요롭게
느껴질 수 있는 밀크티 블렌디드",355ml,315,55,13,37,3,60
블렌디드,"여수 바다 유자 블렌디드
Yeosu Sea Yuja Blended","맑고 깨끗한 여수 경도의 낮 바다 풍경을 형상화한 음료로
상큼하게 즐길 수 있는 유자 블렌디드 음료 (유자:국내산)",473ml,235,10,0,57,0,0
블렌디드,"한라봉 천혜향 블렌디드
Hallabong Cheonhyehyang Blended","[제주 Only]새콤달콤 한라봉, 천혜향과
탱글말랑 한라봉 젤리로
제주의 싱그러움을 담아 낸 음료",473ml,260,25,0,43,1,0
블렌디드,"딸기 딜라이트 요거트 블렌디드
Strawberry Delight Yogurt Blended","유산균이 살아있는 리얼 요거트와 풍성한 딸기 과육이
더욱 상큼하게 어우러진 과일 요거트 블렌디드",355ml,310,110,4.3,43,10,0
블렌디드,"망고 바나나 블렌디드
Mango Banana Blended","(Grande Only) 달콤한 망고 패션 프루트 주스에
바나나 1개가 통째로 들어간 신선한 블렌디드",473ml,290,130,0.9,45,4,0
블렌디드,"스타벅스 판다 쿠키 블렌디드
Starbucks Panda Cookie Blended","[용인에버랜드점 한정 판매]
초콜릿과 고소한 너티 풍미의 달콤한 조합!
너티 쿠키의 바삭한 식감과 판다 초콜릿으로 귀여움까지 즐길 수 있는 음료",473ml,310,220,8,47,8,0
블렌디드,"코튼 스카이 요거트 블렌디드
Cotton Sky Yogurt Blended","고층 매장에서 느낄 수 있는 드넓은 전경을 형상화한 음료로,
붉게 노을지는 하늘을 표현한 솜사탕 토핑과 함께 즐길 수 있는 피나콜라다 컨셉의 음료.",355ml,270,65,1.8,41,4,0
블렌디드,"피치 망고 블렌디드
Peach Mango Blended","오직 강릉주문진점에서만 다시 만날 수 있는 특화 음료로,
달콤한 피치,망고에 새콤한 패션 탱고 티를 더한 매력적인 음료
*G Only",473ml,225,100,0,32,1,0
스타벅스 리프레셔,"딸기 아사이 레모네이드 스타벅스 리프레셔
Strawberry Acai with Lemonade Starbucks Refreshers™","딸기, 아사이베리 주스와 레모네이드가 달콤 상큼하게 조화된 맛에 가볍게 에너지 부스팅을 할 수 있는 리프레셔 음료.",887ml,265,0,0,62,1,73
스타벅스 리프레셔,"딸기 아사이 레모네이드 스타벅스 리프레셔
Strawberry Acai with Lemonade Starbucks Refreshers™","딸기, 아사이베리 주스와 레모네이드가 달콤 상큼하게 조화된 맛에 가볍게 에너지 부스팅을 할 수 있는 리프레셔 음료",355ml,105,0,0,24,1,30
스타벅스 리프레셔,"망고 용과 레모네이드 스타벅스 리프레셔
Mango Dragonfruit with Lemonade Starbucks Refreshers™","망고 용과와 레모네이드가 달콤 상큼하게 조화된 맛에
가볍게 에너지 부스팅을 할 수 있는 음료",355ml,95,35,0,23,0,25
스타벅스 피지오,"오텀 애플 피지오
Autumn Apple Fizzio","가을철 잘 어울리는 사과를 활용한 논카페인 피지오 음료
사과 한 개 분량의 식이 섬유가 들어있으며
그란데 80kcal로 가볍게 즐기세요.",355ml,60,10,0,14,0,0
스타벅스 피지오,"라이트 핑크 자몽 피지오
Light Pink Grapefruit Fizzio","달콤 쌉싸름한 자몽에 탄산의 청량감을 가득 담은 피지오로,
2018년 대비 칼로리를 60% 낮춰 돌아왔습니다.
*G사이즈 기준 99kcal 이하
*18년 대비 칼로리 60% DOWN",355ml,70,0,0,17,0,0
스타벅스 피지오,"리버 피치 피지오
River Peach Fizzio",길고 깊은 강의 모습과 달콤한 복숭아가 만나 강의 뷰를 즐기며 힐링할 수 있는 상큼한 피지오,473ml,155,45,0,22,0,0
스타벅스 피지오,"아이스크림 레드 애플 피지오
Ice Cream Red Apple Fizzio","리저브 전용 아이스크림과 함께 달콤 상큼한 사과맛으로
부드럽게 먹을 수 있는 애플 피지오",355ml,240,45,5,36,2,0
스타벅스 피지오,"여수 바다 자몽 피지오
Yeosu Sea Grapefruit Fizzio","여수 돌산대교의 밤바다 풍경을 형상화한 음료로
알록달록 색상 조명의 토핑과 함께
여수의 풍경을 바라보며 즐길 수 있는 트로피컬 맛의 음료",473ml,250,105,0,45,1,0
스타벅스 피지오,"제주팔삭 셔벗 피지오
Jeju Hassaku Orange Frozen Fizzio","제주송당의 소원나무에 걸린 제주 동백꽃을 형상화한 음료
제주의 자몽이라는 별명을 가진 제주 팔삭과 제주 한라봉으로
매장에서 직접 만든 셔벗과 함께 상큼하게 즐길 수 있는 피지오 음료",355ml,165,5,0,38,0,0
스타벅스 피지오,"제주팔삭 피지오
Jeju Hassaku Orange Fizzio","제주의 자몽이라는 별명을 가진 팔삭과 제주 한라봉으로
상큼하고 가볍게 즐길 수 있는 피지오 음료",355ml,150,5,0,34,0,0
스타벅스 피지오,"쿨 라임 피지오
Cool Lime Starbucks Fizzio™",그린 빈 추출액이 들어간 라임 베이스에 건조된 라임 슬라이스를 넣고 스파클링한 시원하고 청량감 있는 음료입니다. (카페인이 함유된 탄산음료입니다),355ml,105,20,0,25,0,110
티(티바나),"골든 애플 블랙 티
Golden Apple Black Tea","사과 한 개 분량의 식이 섬유가 들어있어
가을철 잘 어울리는 진한 맛과 풍미가 가득한 티 음료
핫 그란데 99kcal로 부담스럽지 않고 가볍게 즐겨보세요",355ml,72,15,0,17,0,16
티(티바나),"아이스 골든 애플 블랙 티
Iced Golden Apple Black Tea","사과 한 개 분량의 식이 섬유가 들어있어
가을철 잘 어울리는 진한 맛과 풍미가 가득한 티 음료
아이스 그란데 80kcal로 부담스럽지 않고 가볍게 즐겨보세요",355ml,60,10,0,14,0,16
티(티바나),"민트 블렌드 티
Mint Blend Brewed Tea","스피어민트, 페퍼민트, 레몬머틀이 블렌딩된 상쾌한 허브 티",355ml,0,0,0,0,0,0
티(티바나),"아이스 민트 블렌드 티
Iced Mint Blend Brewed Tea","스피어민트, 페퍼민트, 레몬머틀이 블렌딩된 상쾌한 허브 티",355ml,0,0,0,0,0,0
티(티바나),"아이스 얼 그레이 티
Iced Earl Grey Brewed Tea",꽃향 가득한 라벤더와 베르가못 향이 진한 홍차와 블렌딩된 향긋한 블랙 티,355ml,0,0,0,0,0,50
티(티바나),"아이스 유스베리 티
Iced Youthberry™Brewed Tea","제주산 찻잎으로 만든 황차에 사과, 망고, 파인애플, 히비스커스, 로즈힙 등이
블렌딩되어 핑크빛 컬러가 감도는 수색과 베리류의 새콤함을 느낄 수 있는 옐로우 티",355ml,0,0,0,0,0,20
티(티바나),"아이스 유자 민트 티
Iced Yuja Mint Tea",달콤한 국내산 고흥 유자와 알싸하고 은은한 진저와 상쾌한 민트 티가 조화로운 유자 민트 티,355ml,145,5,0,37,0,0
티(티바나),"아이스 잉글리쉬 브렉퍼스트 티
Iced English Breakfast Brewed Tea","인도 아삼, 제주도 유기농 홍차가 블렌딩되어 진한 벌꿀향과 그윽한 몰트향이 특징인 블랙 티",355ml,0,0,0,0,0,40
티(티바나),"아이스 제주 유기농 녹차로 만든 티
Iced Jeju Green Tea","유기농 녹차 티백만을 100%(물 제외) 사용한 티로
맑은 수색과 고유의 풍미가 뛰어난 녹차",355ml,0,0,0,0,0,16
티(티바나),"아이스 제주팔삭 & 자몽 허니 블랙 티
Iced Jeju Hassaku Orange & Grapefruit Honey Black Tea","제주의 자몽이라는 별명을 가진 팔삭과 마누카꿀로
자몽과 블랙티의 맛을 더욱 고급스럽게 즐길 수 있는 음료",355ml,140,5,0,38,0,27
티(티바나),"아이스 캐모마일 블렌드 티
Iced Chamomile Blend Brewed Tea","캐모마일과 레몬 그라스, 레몬밤, 히비스커스 등 블렌딩되어
은은하고 차분한 향이 기분을 좋게하는 허브 티",355ml,0,0,0,0,0,0
티(티바나),"아이스 히비스커스 블렌드 티
Iced Hibiscus Blend Brewed Tea","히비스커스, 사과, 파파야, 망고, 레몬그라스 등이 블렌딩된 상큼한 허브 티",355ml,0,0,0,0,0,0
티(티바나),"얼 그레이 티
Earl Grey Brewed Tea",꽃향 가득한 라벤더와 베르가못 향이 진한 홍차와 블렌딩된 향긋한 블랙 티,355ml,0,0,0,0,0,70
티(티바나),"유스베리 티
Youthberry™Brewed Tea","제주산 찻잎으로 만든 황차에 사과, 망고, 파인애플, 히비스커스, 로즈힙 등이
블렌딩되어 핑크빛 컬러가 감도는 수색과 베리류의 새콤함을 느낄 수 있는 옐로우 티",355ml,0,0,0,0,0,20
티(티바나),"유자 민트 티
Yuja Mint Tea","달콤한 국내산 고흥 유자와 알싸하고 은은한 진저,
우릴 수록 상쾌한 민트 티가 조화로운 유자 민트 티",355ml,235,10,0,58,0,0
티(티바나),"잉글리쉬 브렉퍼스트 티
English Breakfast Brewed Tea","인도 아삼, 제주도 유기농 홍차가 블렌딩되어 진한 벌꿀향과 그윽한 몰트향이 특징인 블랙 티",355ml,0,0,0,0,0,70
티(티바나),"자몽 허니 블랙 티
Grapefruit Honey Black Tea",새콤한 자몽과 달콤한 꿀이 깊고 그윽한 풍미의 스타벅스 티바나 블랙 티의 조화,355ml,125,5,0,30,0,70
티(티바나),"제주 유기농 녹차로 만든 티
Jeju Green Tea","유기농 녹차 티백만을 100%(물 제외) 사용한 티로
맑은 수색과 고유의 풍미가 뛰어난 녹차",355ml,0,0,0,0,0,16
티(티바나),"제주팔삭 & 자몽 허니 블랙 티
Jeju Hassaku Orange & Grapefruit Honey Black Tea","제주의 자몽이라는 별명을 가진 팔삭과 마누카꿀로
자몽과 블랙티의 맛을 더욱 고급스럽게 즐길 수 있는 음료",355ml,140,5,0,38,0,70
티(티바나),"캐모마일 블렌드 티
Chamomile Blend Brewed Tea","캐모마일과 레몬 그라스, 레몬밤, 히비스커스 등 블렌딩되어
은은하고 차분한 향이 기분을 좋게하는 허브 티",355ml,0,0,0,0,0,0
티(티바나),"히비스커스 블렌드 티
Hibiscus Blend Brewed Tea","히비스커스, 사과, 파파야, 망고, 레몬그라스 등이 블렌딩된 상큼한 허브 티",355ml,0,0,0,0,0,0
티(티바나),"레드 파워 패션 티
Red Power Passion Tea","딸기와 복숭아의 화사함에 패션 탱고티의 산뜻함을 더해
한 모금 마시면 두근거리는 열정이 다시 떠오르는 리프레싱 티 음료",473ml,190,40,0,31,1,33
티(티바나),"레몬 캐모마일 블렌드 티
Lemon Chamomile Blend Tea","상큼한 레몬에 캐모마일이
은은하게 감도는 무카페인 티",,130,10,0,30,0,0
티(티바나),"복숭아 아이스 티
Iced Peach Black Tea","찻잎을 직접 우려 만든 상큼하고 청량한 여름철 아이스 티로,
복숭아의 진한 맛과 홍차의 조화가 매력적인 음료
*트렌타 사이즈는 Iced Only로 제공됩니다.",887ml,255,75,0,34,1,70
티(티바나),"복숭아 아이스 티
Iced Peach Black Tea","찻잎을 직접 우려 만든 상큼하고 청량한 여름철 아이스 티로,
복숭아의 진한 맛과 홍차의 조화가 매력적인 음료
*Hot Tea로도 즐기실 수 있습니다.",355ml,110,35,0,15,0,30
티(티바나),"복숭아 핫 티
Peach Black Tea","찻잎을 직접 우려 만든 따뜻한 티로,
복숭아와 진한 홍차의 풍미를 느낄 수 있는 음료",355ml,160,50,0,21,0,70
티(티바나),"아이스 레몬 캐모마일 블렌드 티
Iced Lemon Chamomile Blend Tea","상큼한 레몬에 캐모마일이
은은하게 감도는 무카페인 티",,130,10,0,30,0,0
티(티바나),"아이스 자몽 허니 블랙 티
Iced Grapefruit Honey Black Tea",새콤한 자몽과 달콤한 꿀이 깊고 그윽한 풍미의 스타벅스 티바나 블랙 티의 조화.,887ml,345,10,0,79,1,75
티(티바나),"아이스 자몽 허니 블랙 티
Iced Grapefruit Honey Black Tea",새콤한 자몽과 달콤한 꿀이 깊고 그윽한 풍미의 스타벅스 티바나 블랙 티의 조화,355ml,125,5,0,30,0,30
티(티바나),"말차 티라미수 라떼
Malcha Tiramisu Latte","달콤 쌉싸름한 말차크림으로 부드럽게 즐길 수 있는
디저트 타입의 말차 티라미수 음료",,405,220,15,38,11,75
티(티바나),"스타벅스 클래식 밀크 티
Starbucks Classic Milk Tea","스타벅스가 선보이는 클래식한 밀크 티로,
진하게 오래 우려낸 티바나 블랙 티의 깊은 풍미와
우유의 조화로움을 담아낸 '맛'에 집중한 밀크 티",355ml,299,80,13,31,5,190
티(티바나),"스타벅스 클래식 밀크 티 보틀
Starbucks Classic Milk Tea Bottle","진하게 우려낸 블랙 티의 깊은 풍미와
우유의 조화로움을 담아낸 클래식 밀크 티를
전용 보틀과 함께, 언제 어디서나,
편하게 즐겨보세요.(전용 보틀 / 500ml)",,485,130,21,50,7,155
티(티바나),"아이스 말차 티라미수 라떼
Iced Malcha Tiramisu Latte","달콤 쌉싸름한 말차크림으로 부드럽게 즐길 수 있는
디저트 타입의 말차 티라미수 음료",,345,170,13,33,8,75
티(티바나),"아이스 스타벅스 클래식 밀크 티
Iced Starbucks Classic Milk Tea","스타벅스가 선보이는 클래식한 밀크 티로,
진하게 오래 우려낸 티바나 블랙 티의 깊은 풍미와
우유의 조화로움을 담아낸 '맛'에 집중한 밀크 티",355ml,198,50,9,21,3,80
티(티바나),"아이스 얼 그레이 바닐라 티 라떼
Iced Earl Grey Vanilla Tea Latte","2가지 티(블랙티, 얼 그레이 티)가 조화롭게 어우러지고
얼 그레이 폼과 바닐라의 풍미가 은은하게 퍼져
깔끔하고 부드러운 티 라떼 음료",355ml,275,100,9,24,7,29
티(티바나),"아이스 제주 말차 라떼
Iced Jeju Malcha Latte","차광재배한 어린 녹찻잎을 곱게 갈아
깊고 진한 말차 본연의 맛과 향을
부드럽게 즐길 수 있는 제주 말차 라떼",355ml,155,95,3.6,16,6,60
티(티바나),"아이스 차이 티 라떼
Iced Chai Tea Latte","스파이시한 향과 독특한 계피향, 달콤한 차이로 만든 부드러운 티 라떼",355ml,190,70,3,31,5,70
티(티바나),"얼 그레이 바닐라 티 라떼
Earl Grey Vanilla Tea Latte","2가지 티(블랙티, 얼 그레이 티)가 조화롭고
얼 그레이 폼과 바닐라의 풍미가 은은하게 퍼져
깔끔하고 부드러운 티 라떼 음료",355ml,295,105,10,26,7,55
티(티바나),"제주 말차 라떼
Jeju Malcha Latte","차광재배한 어린 녹찻잎을 곱게 갈아
깊고 진한 말차 본연의 맛과 향을
부드럽게 즐길 수 있는 제주 말차 라떼",355ml,205,130,5,20,9,60
티(티바나),"차이 티 라떼
Chai Tea Latte","스파이시한 향과 독특한 계피향, 달콤한 차이로 만든 부드러운 티 라떼",355ml,200,70,3,31,6,70
기타 제조 음료,"딸기 콜드폼 초콜릿
Strawberry Cold Foam Chocolate","딸기 풍미 가득한 스타벅스만의 딸기 콜드폼과
은은한 초콜릿의 향으로 남녀노소 즐길 수 있는 음료",,255,110,2,45,7,5
기타 제조 음료,"시그니처 핫 초콜릿
Signature Hot Chocolate",깊고 진한 초콜릿과 부드러운 휘핑크림이 입안에서 사르르 녹는 초콜릿 음료,355ml,410,135,15,39,13,15
기타 제조 음료,"아이스 시그니처 초콜릿
Iced Signature Chocolate",깊고 진한 초콜릿과 부드러운 휘핑크림이 입안에서 사르르 녹는 초콜릿 음료,355ml,280,100,13,22,8,15
기타 제조 음료,"아이스 티라미수 초콜릿
Iced Tiramisu Chocolate",리저브 다크 초콜릿을 활용하여 초콜릿 풍미 가득한 디저트 타입의 티라미수 초콜릿,,335,130,11,34,7,10
기타 제조 음료,"티라미수 초콜릿
Tiramisu Chocolate",리저브 다크 초콜릿을 활용하여 초콜릿 풍미 가득한 디저트 타입의 티라미수 초콜릿,355ml,420,200,14,41,11,10
기타 제조 음료,"플러피 판다 아이스 초콜릿
Fluffy Panda Iced Chocolate","고소한 헤이즐넛과 진한 초콜릿의 만남,
귀여운 판다까지 더해진 플러피 판다 아이스 초콜릿!

* 용인에버랜드R 매장에서만 판매하는 음료입니다",473ml,415,150,16,39,11,0
기타 제조 음료,"플러피 판다 핫 초콜릿
Fluffy Panda Hot Chocolate","고소한 헤이즐넛과 진한 핫초콜릿의 만남,
귀여운 판다까지 더해진 플러피 판다 핫 초콜릿!

* 용인에버랜드 매장에서만 판매하는 음료입니다",473ml,470,160,17,48,12,0
기타 제조 음료,"딸기 콜드폼 딸기 라떼
Strawberry Cold Foam Strawberry Latte","딸기 풍미 가득한 스타벅스만의 딸기 콜드폼과
딸기 본연의 맛을 즐길 수 있는 음료",,235,110,2,41,6,0
기타 제조 음료,"스타벅스 슬래머
Starbucks Slammer","스트로베리와 아사이베리의 상큼, 달콤한 맛이 톡톡!
시원하고 통쾌한 그랜드 슬램을 위한 에너지 부스팅 음료~!

* SSG랜더스필드 매장에서만 판매하는 음료입니다.",473ml,235,0,0,55,0,0
기타 제조 음료,"스팀 우유
Steamed Milk",부드럽고 담백한 따뜻한 우유.,355ml,215,173,7,18,13,0
기타 제조 음료,"우유
Milk",부드럽고 담백한 신선한 우유.,355ml,240,200,8,18,12,0
기타 제조 음료,"제주팔삭 셔벗
Jeju Hassaku Orange Blended","제주의 자몽이라는 별명을 가진 팔삭과
한라봉으로 매장에서 직접 만든 상큼한 셔벗",,95,5,0,22,0,0
스타벅스 주스(병음료),"ABC 클렌즈 190ML
ABC Cleanse Juice 190ML","과일 및 채소를 착즙하여 만든 주스!
사과, 비트, 당근이 들어가 과일&채소를 달콤하게 즐길 수 있는 음료",,,,,,,
스타벅스 주스(병음료),"레몬 진저 클렌즈 190ML
Lemon Ginger Cleanse Juice 190ML","과일 및 채소를 착즙하여 만든 주스!
레몬, 생강이 들어가 과일&채소를 상큼하게 즐길 수 있는 음료",,,,,,,
스타벅스 주스(병음료),"스퀴즈드 오렌지 주스 100ML
Squeezed Orange Juice 100ML","통오렌지를 착즙해 스페인 네이블 오렌지의 맛이
그대로 느껴지는 프리미엄 주스",,,,,,,
스타벅스 주스(병음료),"케일 클렌즈 190ML
Kale Cleanse Juice 190ML","과일 및 채소를 착즙하여 만든 주스!
케일, 셀러리, 오이가 들어가 과일&채소를 건강하게 즐길 수 있는 음료",,,,,,,
스타벅스 주스(병음료),"딸기주스 190ML
Strawberry Juice 190ML",달콤한 국내산 딸기의 과육이 듬뿍 느껴지는 주스,,,,,,,
스타벅스 주스(병음료),"망고주스 190ML
Mango Juice 190ML",노랗게 익은 열대과일 망고가 입안 가득 느껴지는 주스,,,,,,,
스타벅스 주스(병음료),"수박 주스 190ML
Watermelon Juice 190ML","동남아의 땡모반과 같이
수박 특유의 달콤함과 청량함이
입안 가득 느껴지는 주스",,,,,,,
스타벅스 주스(병음료),"유기농 오렌지 100% 주스 190ML
Organic Orange 100% Juice 190ML","프리미엄 유기농 오렌지 주스로
스페인산 오렌지 착즙!
오렌지 그대로 100% 담긴 3개 분량
물, 설탕, 첨가물 없는 오렌지 그대로의 맛",,,,,,,
스타벅스 주스(병음료),"유기농 오렌지 100% 주스 591ML
Organic Orange 100% Juice 591ML","프리미엄 유기농 오렌지 주스로
스페인산 오렌지 착즙!
오렌지 그대로 100% 담긴 8개 분량
물, 설탕, 첨가물 없는 오렌지 그대로의 맛",,,,,,,
스타벅스 주스(병음료),"케일&사과주스 190ML
Kale&Apple Juice 190ML",국내산 케일과 사과의 달콤함이 조화로운 녹색 주스,,,,,,,
스타벅스 주스(병음료),"한라봉주스 190ML
Hallabong Juice 190ML",새콤달콤한 황금빛 제주 한라봉을 그대로 담아낸 주스,,,,,,,
스타벅스 주스(병음료),"햇사과 주스 190ML
Newly Harvested Apple Juice 190ML",달콤새콤한 햇사과 1개 반을 껍질 그대로 착즙한 사과 주스,,,,,,,
스타벅스 주스(병음료),"햇사과 주스 591ML
Newly Harvested Apple Juice 591ML","햇 사과 네개 반을 껍질 그대로 착즙한 신선한 맛의 사과 주스
대용량으로 즐겨보세요.",,,,,,,
스타벅스 주스(병음료),"딸기 가득 요거트 190ML
Strawberry Yogurt 190ML",상큼 달콤 딸기 과육이 한가득 씹히는 마시는 요거트 음료,,,,,,,
스타벅스 주스(병음료),"블루베리 요거트 190ML
Blueberry Yogurt 190ML",블루베리 과육이 입안 가득 느껴지는 마시는 요거트,,,,,,,
